% C0 (TOA Count Rate, /ms) for 4STAR VIS spectrometer (1044 channels) derived from C:\Users\lebla\Research\MLO\2022_May\4STARB_20220509starsun.mat and recorded on 2022-05-09 21:07:41.
% C0 built to match AOD from 4STARB to AERONET spline fit for Mauna_Loa within 200 m [Alt] and 360 seconds, measured on 20220509.
Pix Wavelength C0 C0err
0 171.23 0.00000000e+00 0.00000000e+00 
1 172.04 -1.00000000e+00 0.00000000e+00 
2 172.86 -1.00000000e+00 0.00000000e+00 
3 173.67 -1.00000000e+00 0.00000000e+00 
4 174.48 -1.00000000e+00 0.00000000e+00 
5 175.29 -1.00000000e+00 0.00000000e+00 
6 176.11 -1.00000000e+00 0.00000000e+00 
7 176.92 -1.00000000e+00 0.00000000e+00 
8 177.73 -1.00000000e+00 0.00000000e+00 
9 178.54 -1.00000000e+00 0.00000000e+00 
10 179.36 -1.00000000e+00 0.00000000e+00 
11 180.17 -1.00000000e+00 0.00000000e+00 
12 180.98 -1.00000000e+00 0.00000000e+00 
13 181.79 -1.00000000e+00 0.00000000e+00 
14 182.61 -1.00000000e+00 0.00000000e+00 
15 183.42 -1.00000000e+00 0.00000000e+00 
16 184.23 -1.00000000e+00 0.00000000e+00 
17 185.04 -1.00000000e+00 0.00000000e+00 
18 185.86 -1.00000000e+00 0.00000000e+00 
19 186.67 -1.00000000e+00 0.00000000e+00 
20 187.48 -1.00000000e+00 0.00000000e+00 
21 188.29 -1.00000000e+00 0.00000000e+00 
22 189.11 -1.00000000e+00 0.00000000e+00 
23 189.92 -1.00000000e+00 0.00000000e+00 
24 190.73 -1.00000000e+00 0.00000000e+00 
25 191.54 -1.00000000e+00 0.00000000e+00 
26 192.36 -1.00000000e+00 0.00000000e+00 
27 193.17 -1.00000000e+00 0.00000000e+00 
28 193.98 -1.00000000e+00 0.00000000e+00 
29 194.79 -1.00000000e+00 0.00000000e+00 
30 195.61 -1.00000000e+00 0.00000000e+00 
31 196.42 -1.00000000e+00 0.00000000e+00 
32 197.23 -1.00000000e+00 0.00000000e+00 
33 198.04 -1.00000000e+00 0.00000000e+00 
34 198.86 -1.00000000e+00 0.00000000e+00 
35 199.67 -1.00000000e+00 0.00000000e+00 
36 200.48 -1.00000000e+00 0.00000000e+00 
37 201.29 -1.00000000e+00 0.00000000e+00 
38 202.11 -1.00000000e+00 0.00000000e+00 
39 202.92 -1.00000000e+00 0.00000000e+00 
40 203.73 -1.00000000e+00 0.00000000e+00 
41 204.54 -1.00000000e+00 0.00000000e+00 
42 205.36 -1.00000000e+00 0.00000000e+00 
43 206.17 -1.00000000e+00 0.00000000e+00 
44 206.98 -1.00000000e+00 0.00000000e+00 
45 207.79 -1.00000000e+00 0.00000000e+00 
46 208.61 -1.00000000e+00 0.00000000e+00 
47 209.42 -1.00000000e+00 0.00000000e+00 
48 210.23 -1.00000000e+00 0.00000000e+00 
49 211.04 -1.00000000e+00 0.00000000e+00 
50 211.86 -1.00000000e+00 0.00000000e+00 
51 212.67 -1.00000000e+00 0.00000000e+00 
52 213.48 -1.00000000e+00 0.00000000e+00 
53 214.29 -1.00000000e+00 0.00000000e+00 
54 215.11 -1.00000000e+00 0.00000000e+00 
55 215.92 -1.00000000e+00 0.00000000e+00 
