07/02/2016  1.4  12.0   3.0
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3800    1.4001-11.6317    9.6507     9.6851    -0.3554     0.0120     0.0006
 0.4512    1.4001-11.9809    7.7352     7.6525     1.0801     0.0100     0.0008
 0.4994    1.4001-11.9809    9.9772     9.9951    -0.1793     0.0098     0.0005
 0.5204    1.4001-11.9809    9.6855     9.7025    -0.1750     0.0096     0.0004
 0.6058    1.4001- 7.6553    5.2583     5.2402     0.3460     0.0093     0.0004
 0.6751    1.4001-10.3908    6.8354     6.8574    -0.3202     0.0048     0.0006
 0.7791    1.4001-11.9298    6.8232     6.7657     0.8500     0.0057     0.0004
 0.8645    1.4001- 9.4787    7.9927     7.8691     1.5705     0.0043     0.0007
 1.0191    1.4001- 8.1861    7.8117     7.8038     0.1016     0.0046     0.0004
 1.2413    1.4001- 9.5446    7.6089     7.5877     0.2796     0.0049     0.0005
 1.5585    1.4001-10.5094    6.9239     7.1791    -3.5549     0.0037     0.0012
 2.1391    1.4001-11.7790    6.0656     6.0960    -0.4994     0.0078     0.0011

