% hyscan_SZA_81_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
9.9, 9.0, 0.0, 10.0, 0.0, 10.0 
6.9, 9.0, 0.0, 7.0, 0.0, -3.0 
4.9, 9.0, 0.0, 5.0, 0.0, -2.0 
3.5, 9.0, 0.0, 3.5, 0.0, -1.5 
3.0, 9.0, 0.0, -3.0, 0.0, -6.5 
3.5, 9.0, 0.0, -3.5, 0.0, -0.5 
4.0, 9.0, 0.0, -4.0, 0.0, -0.5 
4.9, 9.0, 0.0, -5.0, -0.0, -1.0 
5.9, 9.0, 0.0, -6.0, 0.0, -1.0 
6.9, 9.0, 0.0, -7.0, 0.0, -1.0 
7.9, 9.0, 0.0, -8.0, 0.0, -1.0 
9.9, 9.0, 0.0, -10.0, 0.0, -2.0 
12.1, 9.0, 0.0, -12.3, 0.0, -2.3 
14.1, 9.0, 0.0, -14.3, 0.0, -2.0 
16.0, 9.0, 0.0, -16.3, -0.0, -2.0 
18.0, 9.0, 0.0, -18.3, 0.0, -2.0 
20.0, 9.0, 0.0, -20.3, -0.0, -2.0 
24.9, 9.0, 0.0, -25.3, 0.0, -5.0 
30.1, 9.0, 0.0, -30.5, -0.0, -5.3 
35.0, 9.0, 0.0, -35.5, 0.0, -5.0 
40.0, 9.0, 0.0, -40.5, 0.0, -5.0 
44.9, 9.0, 0.0, -45.5, 0.0, -5.0 
50.1, 9.0, 0.0, -50.8, 0.0, -5.3 
59.9, 9.0, 0.0, -60.8, 0.0, -10.0 
70.0, 9.0, 0.0, -71.0, 0.0, -10.3 
80.0, 9.0, 0.0, -81.3, 0.0, -10.3 
90.1, 9.0, 0.0, -91.5, 0.0, -10.3 
100.0, 9.0, 0.0, -101.8, 0.0, -10.3 
120.0, 9.0, 0.0, -122.5, 0.0, -20.8 
140.1, 9.0, 0.0, -144.3, 0.0, -21.8 
160.0, 9.0, 0.0, -171.3, 0.0, -27.0 
162.0, 9.0, 0.0, -180.0, 0.0, -8.8 
