% hyscan_SZA_86p5_LUT.asc 
% dEl and dAz are moves relative to solar position. 
% dEl and dAz are incremental moves from current 4STAR position. 
% This is for CCW leg.  For CW, multiply dAz and ddAz by -1 
SA , El, dEl, dAz, ddEl, ddAz 
10.0, 3.5, 0.0, 10.0, 0.0, 10.0 
7.0, 3.5, 0.0, 7.0, 0.0, -3.0 
5.0, 3.5, 0.0, 5.0, 0.0, -2.0 
3.5, 3.5, 0.0, 3.5, 0.0, -1.5 
3.0, 3.5, 0.0, -3.0, -0.0, -6.5 
3.5, 3.5, 0.0, -3.5, 0.0, -0.5 
4.0, 3.5, 0.0, -4.0, -0.0, -0.5 
5.0, 3.5, 0.0, -5.0, -0.0, -1.0 
6.0, 3.5, 0.0, -6.0, 0.0, -1.0 
7.0, 3.5, 0.0, -7.0, 0.0, -1.0 
8.0, 3.5, 0.0, -8.0, 0.0, -1.0 
10.0, 3.5, 0.0, -10.0, 0.0, -2.0 
12.0, 3.5, 0.0, -12.0, 0.0, -2.0 
14.0, 3.5, 0.0, -14.0, 0.0, -2.0 
16.0, 3.5, 0.0, -16.0, 0.0, -2.0 
18.0, 3.5, -0.0, -18.0, -0.0, -2.0 
20.0, 3.5, -0.0, -20.0, 0.0, -2.0 
25.0, 3.5, -0.0, -25.0, 0.0, -5.0 
29.9, 3.5, -0.0, -30.0, 0.0, -5.0 
34.9, 3.5, 0.0, -35.0, 0.0, -5.0 
39.9, 3.5, 0.0, -40.0, 0.0, -5.0 
44.9, 3.5, 0.0, -45.0, 0.0, -5.0 
49.9, 3.5, 0.0, -50.0, 0.0, -5.0 
59.9, 3.5, 0.0, -60.0, 0.0, -10.0 
70.1, 3.5, 0.0, -70.3, 0.0, -10.3 
80.1, 3.5, 0.0, -80.3, 0.0, -10.0 
90.0, 3.5, 0.0, -90.3, 0.0, -10.0 
100.0, 3.5, 0.0, -100.3, 0.0, -10.0 
119.9, 3.5, 0.0, -120.3, 0.0, -20.0 
139.9, 3.5, 0.0, -140.5, 0.0, -20.3 
160.0, 3.5, 0.0, -161.3, -0.0, -20.8 
173.0, 3.5, 0.0, -180.0, 0.0, -18.8 
